#$ 	 TRIAL_LEFT_LEFT 	=	 0
#$ 	 TRIAL_LEFT_RIGHT 	=	 1
#$ 	 TRIAL_RIGHT_LEFT 	=	 2
#$ 	 TRIAL_RIGHT_RIGHT 	=	 3

#$ 	 TRIAL_TRAIN_NUMBER =	 0
#$ 	 TRIAL_TYPE_MAX 	=	 4
#$ 	 TRIAL_REPLICATION  =	 1

#$ 	 DIMENSION =	 60


#! index		TrOrder		TrType			CTOA		CTD			RT		KeyPressed
	0			53			0			300			0			0				0  
	1			47			1			300			0			0				0  
	2			22			2			300			0			0				0  
	3			28			3			300			0			0				0  
	4			46			0			300			-60			0				0  
	5			27			1			300			-60			0				0  
	6			4			2			300			-60			1447				20  
	7			13			3			300			-60			0				0  
	8			49			0			300			-120			0				0  
	9			52			1			300			-120			0				0  
	10			12			2			300			-120			0				0  
	11			1			3			300			-120			789				19  
	12			9			0			300			60			445				20  
	13			37			1			300			60			0				0  
	14			24			2			300			60			0				0  
	15			41			3			300			60			0				0  
	16			57			0			300			120			0				0  
	17			17			1			300			120			0				0  
	18			6			2			300			120			554				20  
	19			25			3			300			120			0				0  
	20			18			0			500			0			0				0  
	21			26			1			500			0			0				0  
	22			43			2			500			0			0				0  
	23			44			3			500			0			0				0  
	24			33			0			500			-60			0				0  
	25			48			1			500			-60			0				0  
	26			3			2			500			-60			444				20  
	27			30			3			500			-60			0				0  
	28			55			0			500			-120			0				0  
	29			16			1			500			-120			0				0  
	30			59			2			500			-120			0				0  
	31			42			3			500			-120			0				0  
	32			20			0			500			60			0				0  
	33			15			1			500			60			0				0  
	34			8			2			500			60			5342				20  
	35			21			3			500			60			0				0  
	36			2			0			500			120			1637				20  
	37			56			1			500			120			0				0  
	38			0			2			500			120			11120				20  
	39			19			3			500			120			0				0  
	40			10			0			700			0			1971				20  
	41			7			1			700			0			828				19  
	42			23			2			700			0			0				0  
	43			39			3			700			0			0				0  
	44			29			0			700			-60			0				0  
	45			40			1			700			-60			0				0  
	46			14			2			700			-60			0				0  
	47			38			3			700			-60			0				0  
	48			35			0			700			-120			0				0  
	49			36			1			700			-120			0				0  
	50			54			2			700			-120			0				0  
	51			50			3			700			-120			0				0  
	52			11			0			700			60			0				0  
	53			32			1			700			60			0				0  
	54			31			2			700			60			0				0  
	55			34			3			700			60			0				0  
	56			58			0			700			120			0				0  
	57			45			1			700			120			0				0  
	58			5			2			700			120			358				20  
	59			51			3			700			120			0				0  
#¡
